Commit Hash,Aurthor,Week Day,Day,Month,Year,Date,Time,Time Zone,Subject
bd710cf,daflair,Sat,25,Feb,2012,2012-02-25,06:12:53,-0500,Implementing ViewComponent in progress
fff7c2a,daflair,Thu,23,Feb,2012,2012-02-23,20:39:05,-0500,Implementing GrasppeHandle SuperClass & PlotFigure
8a40a96,daflair,Thu,23,Feb,2012,2012-02-23,09:39:22,-0500,Implemented upPlot View Classes in progress
7ac9246,daflair,Wed,22,Feb,2012,2012-02-22,15:34:50,-0500,Buffering MergeSurfs in progress
366570f,daflair,Wed,22,Feb,2012,2012-02-22,14:33:55,-0500,Refactoring PlotStats in Progress
bcc4497,daflair,Tue,14,Feb,2012,2012-02-14,17:30:11,-0500,Implementing Plots.Stats in progress
c3532c6,daflair,Sat,11,Feb,2012,2012-02-11,09:05:58,-0500,Refactoring / Redesiging Stats Plotting
9ba62c9,daflair,Wed,8,Feb,2012,2012-02-08,18:18:04,-0500,(WIP) Refactoring everything packages
00eb79c,daflair,Mon,6,Feb,2012,2012-02-06,11:05:25,-0500,"Implemented Delta / Relative Stats, Improved runlog"
139bb88,daflair,Mon,30,Jan,2012,2012-01-30,09:37:59,-0500,Added/Integrated EncodeMov.scpt w/ testStats
426360e,daflair,Mon,30,Jan,2012,2012-01-30,07:47:07,-0500,"Implementier multi-type testStats, Fixed default when"
970f3a4,daflair,Wed,25,Jan,2012,2012-01-25,21:54:28,-0500,Ignoring Output
591161c,daflair,Wed,25,Jan,2012,2012-01-25,18:00:21,-0500,Implemented working runlog in exportStats / testStats
3a0c9af,daflair,Wed,25,Jan,2012,2012-01-25,17:15:34,-0500,Implementing runlog
00e7645,daflair,Wed,25,Jan,2012,2012-01-25,11:28:47,-0500,"Added stats for zoneBand, Implemented default, when, resolve, exists functions, Improved testStats/exportStats"
9cb7adf,daflair,Wed,18,Jan,2012,2012-01-18,21:16:27,-0500,"Added supPlotStats, testStats, exportStats (w/ output)"
edc0ff9,daflair,Thu,8,Dec,2011,2011-12-08,09:23:21,-0500,"Moved folder to ~/Documents/Workspace/MATLAB, Updated source to work with new datadir(varargin)"
ef11d7f,daflair,Thu,1,Dec,2011,2011-12-01,12:13:37,-0500,Forced github Error Recovery Snapshot
2f63d21,daflair,Mon,18,Jul,2011,2011-07-18,08:43:52,-0400,Imported previous MatLab project SUP201010
